Designator,Mid X,Mid Y,Rotation,Layer
ACCELEROMETER1,151.78,-98.917093,270.0,bottom
ALTITUDE1,160.445,-34.385,270.0,bottom
C1,144.78,-115.57,90.0,bottom
CR1,140.97,-115.57,270.0,bottom
GPS1,151.6,-105.09,90.0,top
IC1,152.895,-127.655,270.0,bottom
IC2,157.485,-127.655,270.0,bottom
J1,153.83875,-115.57,90.0,bottom
J2,145.48,-128.905,90.0,bottom
J3,145.69,-136.525,90.0,bottom
R1,152.245,-133.08,270.0,bottom
R2,155.535,-133.08,270.0,bottom
SD_READER1,143.08685,-34.339183,90.0,bottom
U1,151.76316,-67.31,0.0,top
