Timestamp,Temperature,Pressure,Altitude
1782,22.50,85047,1453.14
3872,22.50,85053,1452.85
5961,22.50,85051,1452.56
8050,22.50,85042,1452.66
10139,22.50,85039,1453.91
12228,22.50,85028,1454.10
14318,22.50,85037,1453.43
16407,22.50,85042,1453.91
18496,22.50,85038,1453.91
20585,22.50,85023,1454.19
22674,22.50,85019,1455.44
24763,22.50,85025,1454.87
26852,22.50,85012,1455.15
28941,22.50,85018,1455.54
31030,22.50,85021,1455.73
33119,22.50,85024,1455.25
35208,22.50,85024,1454.67
37297,22.50,85032,1453.81
39387,22.50,85036,1453.91
41478,22.50,85050,1453.43
43569,22.50,85045,1453.23
45658,22.50,85050,1452.27
47747,22.50,85049,1452.56
49836,22.60,85047,1453.23
51925,22.60,85043,1452.85
54014,22.60,85049,1453.33
56103,22.60,85046,1453.04
58192,22.60,85033,1453.33
60281,22.70,85049,1452.85
62370,22.70,85048,1451.99
64461,22.70,85051,1452.37
66550,22.70,85047,1453.33
68639,22.70,85048,1453.23
70728,22.70,85046,1452.47
72817,22.70,85051,1452.95
74906,22.70,85038,1451.89
76995,22.70,85044,1452.95
79084,22.70,85049,1452.66
81173,22.70,85053,1451.79
83261,22.80,85035,1454.39
85352,22.80,85040,1454.39
87441,22.80,85038,1454.29
89532,22.80,85044,1453.23
91621,22.80,85045,1453.33
93710,22.80,85043,1453.33
95799,22.80,85047,1451.79
97888,22.80,85052,1452.56
99977,22.80,85049,1452.27
