Timestamp,Roll,Pitch,Temperature
1793,-39.69,-85.58,25.86
3882,-2.97,-53.97,25.92
5971,-2.95,-53.89,25.97
8060,-3.15,-53.86,25.99
10149,-3.03,-53.85,26.01
12238,-3.22,-53.81,26.02
14328,-3.19,-53.91,26.02
16417,-3.21,-53.72,26.03
18506,-3.01,-53.68,26.04
20595,-2.95,-53.86,26.03
22684,-3.25,-53.91,26.07
24773,-3.16,-53.90,26.08
26862,-3.01,-53.63,26.10
28951,-3.17,-53.85,26.09
31040,-2.94,-53.74,26.13
33129,-3.24,-53.70,26.13
35218,-3.26,-53.80,26.12
37307,-2.72,-53.79,26.12
39399,-2.94,-53.68,26.14
41488,-3.17,-53.67,26.16
43579,-156.22,-33.14,26.15
45668,156.69,-5.96,26.19
47757,162.06,2.15,26.18
49846,81.93,-15.90,26.22
51935,82.15,-15.42,26.27
54024,85.47,-13.33,26.32
56113,170.62,5.31,26.35
58202,170.92,3.21,26.37
60291,84.23,-3.15,26.42
62380,-173.98,-51.30,26.44
64471,-176.99,-55.81,26.48
66560,-175.17,-61.48,26.50
68649,-168.60,-75.51,26.50
70738,-162.00,-79.61,26.50
72827,-162.39,-79.74,26.52
74916,-162.32,-79.84,26.52
77005,-162.57,-79.69,26.53
79094,-162.09,-79.70,26.54
81181,-161.63,-80.07,26.57
83271,-162.41,-79.84,26.59
85362,-162.24,-79.82,26.60
87451,-160.19,-79.82,26.57
89542,-160.92,-79.86,26.59
91631,-161.59,-79.82,26.61
93720,-160.88,-79.75,26.62
95809,-161.02,-79.91,26.63
97898,125.37,15.69,26.64
99987,135.28,16.67,26.65
